word1,word2,mean(remove_extreme_annotator),sub1,sub2,sub3,sub4,sub5,sub6,sub7,sub8,sub9,sub10,mean
なぞる,追う,4.8,3,6,3,6,6,10,3,5,2,6,5.0
なぞる,探し求める,3.6,1,4,3,5,5,9,5,6,0,6,4.4
なぞる,行く,1.6,0,0,0,4,4,6,3,3,0,0,2.0
にこにこした,微笑した,7.4,10,5,6,9,7,8,5,6,1,7,6.4
ニコニコした,にっこりした,9.2,7,10,10,10,9,9,8,9,10,7,8.9
ニコニコした,にんまりした,7.8,7,8,10,7,7,9,6,8,2,6,7.0
にこにこする,微笑む,8.6,10,8,8,10,7,9,9,7,5,7,8.0
にじみ出ている,示されている,4.4,6,3,3,3,7,7,6,7,3,4,4.9
にじみ出ている,出ている,6.2,6,5,5,8,7,8,5,7,5,5,6.1
にじみ出る,浮かび上がる,6,5,6,7,4,8,9,4,8,6,6,6.3
にっこりした,にんまりした,7.8,8,9,6,9,7,9,5,8,2,6,6.9
のせる,添える,5.8,5,6,4,7,7,9,6,7,8,6,6.5
はさみこんだ,掴んだ,3.8,3,1,3,6,6,10,3,1,3,6,4.2
はさみこんだ,はさんだ,8.4,8,9,8,8,9,10,3,9,9,8,8.1
はさんだ,つかんだ,3.8,0,2,4,6,7,9,4,3,7,6,4.8
はだける,乱れる,5,6,4,7,2,6,9,5,7,9,6,6.1
はまった,入り込んだ,6,5,6,9,3,7,10,3,8,8,6,6.5
はまった,埋もれた,6.2,6,4,7,7,7,9,3,7,9,6,6.5
はまる,合う,6.4,5,6,5,8,8,9,4,8,9,6,6.8
はまる,いく,1.2,0,0,0,3,3,5,2,0,0,0,1.3
はめこむ,着ける,3.8,5,1,3,4,6,8,3,4,4,5,4.3
はめこむ,はめる,8,10,6,8,7,9,10,8,9,8,8,8.3
はめこむ,通す,2.2,0,0,0,5,6,5,1,3,1,4,2.5
はめた,装着した,7.2,5,8,9,8,6,9,2,8,5,8,6.8
はめた,着用した,6.2,8,4,5,8,6,9,1,8,1,6,5.6
はめられた,陥った,6.4,8,5,5,6,8,10,3,9,6,6,6.6
はめる,つける,7.4,9,7,7,8,6,7,3,8,7,6,6.8
ひいた,受け継いだ,3.8,3,0,0,8,8,10,5,7,9,0,5.0
ひいた,広げた,2.4,0,2,0,4,6,5,2,1,0,0,2.0
ひいた,貰った,1.8,0,1,0,2,6,6,1,0,0,0,1.6
ひいた,書いた,2.2,0,1,0,3,7,3,1,0,0,6,2.1
ひく,撤退する,8.2,9,7,8,9,8,10,8,9,9,7,8.4
ぴったりと付いた,挟まった,4,4,1,2,7,6,7,3,8,3,6,4.7
ひょっとする,もしかする,8.2,8,8,7,10,8,10,9,9,10,8,8.7
フォローした,補足した,7.8,9,8,5,9,8,10,8,9,8,8,8.2
フォローした,付け加えた,7.2,8,7,6,7,8,10,7,9,7,8,7.7
ふき取った,ふいた,8.4,8,9,8,8,9,10,8,9,9,8,8.6
ふき取った,拭いた,8.4,8,7,8,10,9,10,8,9,9,8,8.6
ふりをした,装った,8.2,7,8,10,8,8,10,7,9,9,8,8.4
ふりをする,真似る,8.2,7,7,10,9,8,10,7,9,7,8,8.2
ふりをする,装う,8.2,7,7,10,9,8,10,6,9,4,8,7.8
ほほえみ,微笑み,10,10,10,10,10,10,10,10,10,10,10,10.0
ほほえむ,笑う,6.8,8,5,6,8,7,9,6,5,5,8,6.7
ほほえむ,微笑む,10,10,10,10,10,10,10,10,10,10,10,10.0
マッチした,合った,8.2,6,9,9,10,7,10,9,9,9,9,8.7
マッチした,合致した,7.6,6,9,7,10,6,10,9,9,9,9,8.4
マッチする,一致する,7.2,5,9,9,7,6,10,8,9,8,9,8.0
マッチする,合体する,5.8,6,9,5,4,5,2,2,5,3,0,4.1
みごもらせた,身ごもらせた,10,10,10,10,10,10,10,10,10,10,10,10.0
むかむかした,忌ま忌ましい,4.8,5,2,4,7,6,8,2,8,8,7,5.7
むき出しになった,露呈した,7.4,9,6,7,7,8,10,8,9,7,5,7.6
むき出しになった,見られた,1.8,0,0,0,3,6,6,3,5,2,0,2.5
むしばんだ,破壊した,3.4,4,1,4,2,6,8,2,4,8,2,4.1
むしばんだ,病んだ,6.2,7,6,5,6,7,9,4,6,8,7,6.5
もめる,主張しあう,4.4,5,5,3,3,6,4,5,5,5,5,4.6
もめる,言い争う,7.8,7,7,8,9,8,10,6,9,8,7,7.9
もらった,罹患した,5.8,5,5,4,7,8,7,7,6,5,7,6.1
やめた,撤退した,6.6,8,8,7,3,7,9,6,6,8,8,7.0
やめた,辞めた,10,10,10,10,10,10,10,10,10,10,10,10.0
やめる,除く,3.4,2,5,2,3,5,6,2,7,5,6,4.3
よくある,結構ある,7.6,8,8,9,8,5,10,9,8,9,8,8.2
よく合う,合う,8.2,9,8,9,8,7,10,7,8,4,5,7.5
より分けられる,分け与えられる,5.4,8,4,7,2,6,5,2,4,4,6,4.8
より分けられる,分担される,6,8,5,5,7,5,9,1,4,2,7,5.3
より分けられる,分配される,7.4,8,8,8,7,6,8,3,8,3,8,6.7
より分ける,配分する,6.2,7,4,8,6,6,8,3,8,1,8,5.9
ランクアップする,上昇する,7.2,8,9,5,6,8,9,5,9,9,8,7.6
ランクアップする,上がる,6.8,6,8,5,7,8,9,5,8,9,8,7.3
わずらった,弱めた,0.2,0,0,0,1,0,2,2,0,2,3,1.0
哀願した,頼んだ,6.2,7,4,6,7,7,5,7,8,7,8,6.6
哀願した,依頼した,4.6,6,4,6,6,1,5,6,8,3,7,5.2
哀願した,切望した,6.8,8,6,6,6,8,7,7,9,10,9,7.6
哀願した,嘆願した,6.6,7,7,6,7,6,8,8,9,10,9,7.7
哀願した,お願いした,6.4,7,6,7,7,5,10,7,8,6,8,7.1
哀願した,頼みこんだ,7.2,7,7,7,7,8,10,8,8,7,9,7.8
哀願する,嘆願する,7.2,7,7,9,7,6,10,8,9,10,9,8.2
哀願する,依頼する,5,5,6,7,6,1,8,4,7,3,7,5.4
哀願する,熱願する,6.8,7,6,7,7,7,10,8,9,4,9,7.4
哀願する,懇望する,7.4,8,7,8,7,7,10,8,9,5,9,7.8
哀願する,頼む,6,7,6,6,6,5,8,3,7,7,7,6.2
依頼した,お願いした,8.2,10,9,7,7,8,10,7,9,8,9,8.4
依頼する,頼む,8.4,9,9,9,7,8,10,8,9,8,9,8.6
意味した,表示した,1.8,0,0,4,5,0,9,4,6,4,7,3.9
育ちきった,成熟した,7.6,8,9,6,7,8,10,7,8,8,8,7.9
育ちきった,完成した,5.8,6,8,8,6,1,6,5,8,8,8,6.4
育ちきった,発達した,7.4,8,8,9,7,5,8,5,8,7,8,7.3
育っていた,成長していた,7.2,5,8,9,7,7,10,9,9,9,9,8.2
育っていた,発達していた,6,4,8,6,7,5,9,8,9,9,9,7.4
育てる,生育する,8,8,9,7,8,8,2,7,9,5,9,7.2
一緒にした,同封した,7,7,7,8,5,8,7,5,8,8,8,7.1
一緒にした,添えた,5.8,7,7,8,5,2,8,6,8,7,8,6.6
一緒にした,添付した,6,8,7,8,5,2,8,5,8,6,8,6.5
一致する,合体する,5.4,7,5,4,3,8,10,2,7,1,0,4.7
一致する,いける,0.8,0,2,0,2,0,5,1,6,0,0,1.6
引き合いにする,引用する,7.2,7,8,5,8,8,8,4,9,7,7,7.1
引き合いに出した,利用した,3.6,2,5,6,5,0,7,3,7,2,5,4.2
引き合いに出した,参照した,6.2,8,7,7,3,6,8,4,9,7,8,6.7
引き受けた,同意した,7.4,10,9,7,6,5,7,5,9,2,8,6.8
引き受ける,承認する,6.6,8,7,9,4,5,7,6,9,6,8,6.9
引き立つ,合う,2.4,0,3,2,2,5,2,4,7,3,4,3.2
引き立つ,栄える,3.8,7,5,5,2,0,9,2,9,10,0,4.9
引き立つ,映える,5.8,5,7,5,5,7,9,6,9,10,7,7.0
引き立つ,目立つ,5,7,5,6,4,3,10,6,9,6,7,6.3
引き立つ,良く見える,5.6,7,6,6,3,6,8,7,9,8,8,6.8
引き立った,映えた,6,7,5,6,5,7,9,6,8,10,7,7.0
引けを取らない,上回る,3.6,5,4,2,4,3,2,3,0,5,6,3.4
引けを取らない,勝る,6,7,6,8,4,5,4,5,0,6,6,5.1
引けを取らない,優れる,5,5,5,5,4,6,4,5,0,3,6,4.3
引用した,使った,5.8,7,8,5,5,4,10,6,9,8,5,6.7
引用した,利用した,5.2,7,6,4,5,4,10,6,9,8,5,6.4
引率する,指導する,4.2,5,4,7,5,0,7,3,9,7,6,5.3
隠し持つ,潜める,5.4,5,8,5,4,5,3,3,7,7,6,5.3
隠し持った,おさめた,3.2,1,6,4,5,0,2,3,1,7,4,3.3
隠し持った,隠れた,3.8,2,6,6,3,2,4,2,5,7,5,4.2
隠し持った,留めた,1.8,2,4,0,3,0,5,3,5,6,5,3.3
隠し持った,隠した,5.8,8,8,7,4,2,7,5,5,6,5,5.7
隠し持っている,持ち合わせている,3.2,2,5,5,3,1,3,3,5,8,4,3.9
窺える,漂う,2.6,2,1,5,5,0,0,3,6,0,0,2.2
運んだ,担ぎ上げた,6,6,8,6,6,4,7,4,5,6,6,5.8
運んだ,担いだ,6.8,8,8,8,6,4,9,4,5,4,6,6.2
運転した,動かした,5.4,5,8,5,5,4,9,5,8,8,6,6.3
運転した,操作した,7.6,9,9,7,6,7,10,7,9,7,8,7.9
運転する,操作する,7.2,7,7,9,6,7,10,7,9,7,8,7.7
運転できる,コントロールできる,6,8,5,6,5,6,10,6,9,3,8,6.6
運転できる,操縦できる,7,7,8,7,6,7,10,8,9,6,8,7.6
映えた,似合った,2.8,0,3,0,5,6,9,6,7,7,5,4.8
映えた,あった,2,0,0,0,4,6,4,5,7,6,5,3.7
映える,良く見える,6.6,6,8,7,5,7,10,6,8,7,7,7.1
映し出す,表している,6.8,6,8,4,8,8,9,6,7,8,5,6.9
映し出す,表現する,5.6,5,5,3,7,8,9,3,6,6,5,5.7
映し出す,表す,7,6,7,6,8,8,9,4,8,8,5,6.9
映る,見える,6.8,6,5,9,7,7,10,3,7,3,0,5.7
栄える,合う,1.6,0,3,0,5,0,9,6,8,4,0,3.5
栄える,調和する,1.8,0,2,2,5,0,6,7,6,1,0,2.9
永眠した,死んだ,8.8,8,10,9,9,8,10,10,8,10,9,9.1
円熟した,成長した,7.2,5,9,9,7,6,6,6,8,8,8,7.2
円熟する,成熟する,7,7,6,8,8,6,10,7,8,10,9,7.9
往生した,他界した,7.6,10,6,6,8,8,10,9,9,10,9,8.5
往生した,死亡した,8.4,10,8,8,8,8,10,8,9,10,9,8.8
応じる,認める,6.2,8,6,8,5,4,10,7,9,7,6,7.0
応じる,受け入れる,7.8,9,8,9,6,7,10,7,9,9,7,8.1
苛々しい,怒りたい,5.8,7,4,8,5,5,9,6,8,8,5,6.5
苛立たしい,忌ま忌ましい,6,6,6,6,6,6,9,7,8,10,5,6.9
苛立たしかった,むかむかした,6.4,7,5,7,7,6,7,6,9,10,8,7.2
苛立たしげ,怒ったよう,6.8,6,9,6,7,6,9,5,8,10,7,7.3
壊れた,破壊した,5,5,7,6,5,2,10,3,9,8,7,6.2
壊れた,痛めた,5,7,7,7,4,0,8,2,6,3,7,5.1
壊れやすい,崩れやすい,6.8,8,7,9,6,4,9,5,8,8,7,7.1
壊れやすい,割れやすい,6.2,8,7,7,5,4,9,5,8,6,7,6.6
壊れやすく,崩れやすく,7,9,7,9,6,4,9,5,8,9,7,7.3
壊れる,崩れる,6,6,7,8,5,4,10,4,8,8,7,6.7
壊れる,終わる,4.6,6,6,5,6,0,5,2,6,1,5,4.2
壊滅する,崩れる,5,6,3,5,6,5,9,4,8,7,7,6.0
懐妊する,身籠る,9,10,9,9,9,8,10,8,9,10,9,9.1
開示した,明示した,6,7,6,5,5,7,10,8,9,5,7,6.9
開示する,明記する,6.6,5,8,8,5,7,10,6,9,1,7,6.6
開示する,明らかにする,6.8,6,9,7,5,7,10,7,9,9,7,7.6
外す,なくす,5.4,6,4,7,5,5,8,6,8,3,0,5.2
拡大された,拡張された,5.6,5,7,3,7,6,9,5,9,9,8,6.8
拡張した,拡大した,7.8,9,8,9,7,6,9,8,9,9,8,8.2
拡張した,広がった,7.6,8,9,9,6,6,7,8,9,10,8,8.0
獲得した,取った,6.4,6,5,7,7,7,10,7,9,10,8,7.6
確立する,成熟する,4.8,7,8,5,4,0,5,4,7,8,3,5.1
割り当てた,分けた,6.6,8,7,7,6,5,8,4,8,9,6,6.8
完熟した,老熟した,5.6,7,5,6,5,5,2,7,9,8,7,6.1
完成した,発達した,4,5,5,2,4,4,2,6,8,8,5,4.9
完成する,確立する,5.6,4,6,7,6,5,5,5,8,8,7,6.1
感じられる,する,1.4,1,3,0,3,0,2,2,0,0,0,1.1
感じられる,ある,1.8,2,3,1,3,0,5,2,1,0,5,2.2
感じる,する,1.6,1,4,0,3,0,5,2,0,0,0,1.5
感じる,あふれる,1.4,0,1,0,4,2,3,1,0,1,0,1.2
感染した,かかった,6.4,7,8,5,7,5,9,7,8,8,7,7.1
緩ませた,緩めた,6.8,7,5,7,8,7,6,9,9,8,8,7.4
緩ませた,緩和した,6.8,5,7,7,8,7,10,7,9,8,8,7.6
緩ませて,緩めて,6.2,7,3,6,8,7,5,9,9,7,8,6.9
緩めた,回した,1.2,1,3,0,2,0,4,2,0,0,6,1.8
緩める,緩和させる,7.6,9,8,7,8,6,10,6,9,8,8,7.9
緩和させた,弱めた,5.6,5,7,7,4,5,9,4,8,5,4,5.8
観察した,見た,6.8,7,9,8,5,5,9,5,8,8,7,7.1
間を置かず,ささっと,7.4,8,8,10,6,5,9,6,9,7,6,7.4
陥った,入った,3.4,4,5,1,3,4,6,3,3,5,5,3.9
丸出しにする,出して見せる,5.2,5,8,3,5,5,6,4,6,6,6,5.4
丸出しにする,露出する,7,7,9,6,7,6,10,2,9,9,7,7.2
願う,懇望する,7.4,9,7,9,6,6,8,9,9,8,7,7.8
気が休まらない,疲れる,4.6,5,5,3,5,5,5,5,8,8,6,5.5
記されておる,書かれておる,7.6,9,9,6,8,6,10,8,9,9,8,8.2
記されておる,記載されておる,8.2,9,9,9,8,6,10,9,9,9,8,8.6
記載された,書かれた,7.6,7,9,8,8,6,10,9,9,9,8,8.3
記載された,表記された,7.8,8,9,8,7,7,10,9,9,10,8,8.5
記載された,表示された,6.8,7,8,7,5,7,8,6,8,8,8,7.2
記述された,掲載された,5.8,9,5,8,3,4,10,6,9,5,8,6.7
記述された,書かれた,7,6,7,8,8,6,10,7,9,10,8,7.9
記述された,記載された,8,9,9,8,8,6,10,8,9,7,8,8.2
記述された,記された,8.4,10,9,9,8,6,10,8,9,8,8,8.5
記述されておる,書かれておる,8.2,10,9,8,8,6,10,8,9,10,8,8.6
記帳された,書いてある,4.6,7,3,5,6,2,2,3,9,1,8,4.6
記帳された,記された,5.2,8,4,6,5,3,7,4,9,2,8,5.6
記帳された,書かれた,5.4,8,5,7,5,2,7,3,9,2,8,5.6
記帳した,作成した,2.8,5,2,4,3,0,4,2,0,2,6,2.8
記入された,記述された,6.2,4,9,8,7,3,6,6,9,7,8,6.7
記入した,記載した,6.2,5,9,8,6,3,6,8,9,5,8,6.7
記入した,明記した,6.6,6,9,9,6,3,6,4,8,4,7,6.2
記入した,書いた,7.4,7,9,9,7,5,8,7,9,10,8,7.9
記名した,掲載した,3.6,7,3,3,5,0,2,4,8,0,5,3.7
記名した,明記した,4.2,6,3,2,7,3,2,3,8,0,6,4.0
偽った,演じた,4.8,6,7,2,4,5,4,5,8,3,7,5.1
偽装した,装った,6.8,7,9,5,6,7,8,5,9,6,8,7.0
偽装した,見せかけた,7.2,8,8,6,7,7,8,6,8,7,7,7.2
求められている,望まれている,7.8,8,10,8,6,7,9,8,8,8,8,8.0
許可を出した,認めた,6.2,8,6,3,8,6,9,7,8,9,8,7.2
許可を出した,承諾した,7.2,8,10,5,7,6,9,6,8,9,8,7.6
許可を出した,承知した,5.4,6,3,7,5,6,9,6,7,8,5,6.2
許可を出した,了承した,7,8,8,8,5,6,9,7,7,9,8,7.5
許可を出した,承認した,7.4,8,8,8,7,6,9,6,8,8,7,7.5
許諾した,了承した,6.6,5,9,7,5,7,9,6,7,9,8,7.2
許諾した,承諾した,7.6,6,9,9,7,7,9,6,8,9,8,7.8
許諾した,認めた,7,5,8,8,8,6,9,6,8,9,8,7.5
許諾した,承認した,8,9,9,7,8,7,9,6,8,8,8,7.9
許諾した,同意した,6.2,5,7,7,6,6,9,8,8,8,4,6.8
協調した,提携した,6,8,8,7,4,3,9,6,7,6,5,6.3
駆け巡る,ひたすら走る,6,7,5,5,7,6,8,6,3,5,5,5.7
駆け抜ける,爆走する,6.8,8,6,7,7,6,5,5,5,6,5,6.0
駆除した,出した,2,0,1,4,0,5,5,2,1,2,5,2.5
駆除した,排斥した,5.8,7,4,7,5,6,8,7,5,6,8,6.3
駆除した,いなくした,6.6,9,7,6,6,5,8,6,5,7,5,6.4
駆除した,追い出した,6.2,7,5,7,6,6,7,5,6,7,8,6.4
駆除した,撤退した,3.2,5,4,5,0,2,0,0,1,1,3,2.1
具現化する,出現する,4.8,8,5,4,2,5,7,0,5,4,3,4.3
具現化する,表面化する,7,9,7,7,5,7,8,2,6,7,5,6.3
掲載される,書いてある,5.6,6,8,5,4,5,8,4,5,9,4,5.8
掲載した,明記した,6.4,9,6,8,4,5,8,4,6,5,5,6.0
掲載した,記した,6.6,8,8,9,3,5,8,3,6,5,5,6.0
軽視する,無視する,4.2,6,6,5,0,4,8,4,1,2,2,3.8
欠かす,取り除く,4.8,4,8,7,0,5,8,2,1,3,3,4.1
欠く,劣る,3.8,7,5,2,1,4,5,8,1,5,2,4.0
欠く,なくす,5.6,6,5,8,4,5,8,5,3,3,8,5.5
決まらない,一悶着ある,2.2,0,2,4,0,5,4,5,1,4,5,3.0
決まる,争う,0.6,0,0,0,0,3,0,0,1,1,1,0.6
喧嘩になる,一悶着ある,6.4,7,9,6,4,6,8,7,7,4,5,6.3
喧嘩をした,争った,7.2,9,8,7,5,7,9,7,9,6,6,7.3
喧嘩をする,主張しあう,3.6,6,2,3,1,6,7,5,6,6,5,4.7
喧嘩をする,ぶつかる,6.2,5,8,7,4,7,8,3,8,6,6,6.2
肩に乗せた,背負った,6.8,10,8,5,5,6,9,5,3,3,4,5.8
見え隠れした,表れた,4,5,7,2,0,6,4,3,1,4,5,3.7
見え隠れした,描写された,1.8,2,2,0,0,5,3,0,1,3,3,1.9
見え隠れした,表現された,1.4,0,2,0,0,5,4,0,2,3,3,1.9
見せかけた,演じた,5.6,7,8,5,3,5,8,4,5,6,5,5.6
見せかけた,偽った,7,8,8,9,5,5,8,6,5,7,7,6.8
見せ掛けた,取り繕った,5,3,6,6,4,6,9,7,6,6,6,5.9
見せ掛けた,繕った,3.8,3,5,6,4,1,9,7,6,6,3,5.0
見つけた,狙った,3.8,7,5,2,0,5,3,4,1,3,2,3.2
見てとれる,示される,5.6,6,4,8,4,6,6,4,3,3,5,4.9
見てとれる,表面化する,6,8,5,8,3,6,8,4,6,4,6,5.8
見てとれる,見える,6.8,7,8,9,5,5,8,6,6,6,5,6.5
見て取れた,出た,3,5,1,2,3,4,2,3,5,5,5,3.5
見て取れた,表れた,5.4,5,4,7,5,6,8,3,6,5,7,5.6
見て取れた,見え隠れした,2.4,3,1,2,2,4,1,2,6,7,3,3.1
見られる,発生する,2.4,2,1,0,4,5,3,2,1,3,5,2.6
見映えがする,引き立つ,7.4,10,8,6,6,7,8,7,7,6,7,7.2
見映えがする,目立つ,6.6,9,7,7,5,5,8,6,6,7,4,6.4
見栄えがする,映える,7.2,8,8,6,7,7,8,8,6,8,7,7.3
見栄えがする,よりよく見える,7.2,8,7,8,7,6,9,7,8,8,6,7.4
見栄えする,映える,7,7,7,7,7,7,8,8,6,7,7,7.1
見栄えのする,引き立つ,6.2,7,7,4,6,7,8,7,7,7,7,6.7
見栄えのする,際立つ,7.2,8,7,7,7,7,8,7,7,6,8,7.2
見栄えのする,目立つ,6.4,7,7,8,5,5,8,6,6,6,4,6.2
顕示した,表示した,5,5,6,2,5,7,8,6,6,4,5,5.4
顕示した,明言した,5.6,6,4,6,6,6,6,6,5,3,5,5.3
元気づける,励ます,6.6,5,8,5,7,8,9,8,8,9,8,7.5
現われた,登場した,6.6,5,8,6,6,8,9,7,7,9,8,7.3
現われた,浮上した,6.2,6,6,7,4,8,8,7,6,8,9,6.9
言い合った,審議した,5.8,8,7,5,4,5,5,7,5,4,8,5.8
言い争いした,議論した,6.6,7,7,8,6,5,5,7,8,5,8,6.6
言い争う,争う,5.8,7,7,6,4,5,6,2,3,7,5,5.2
